tconst,titleType,primaryTitle,originalTitle,genres
tt0000026,short,The Messers. Lumière at Cards,Partie d'écarté,"Documentary,Short"
tt0000027,short,Cordeliers' Square in Lyon,Place des Cordeliers à Lyon,"Documentary,Short"
tt0000028,short,Fishing for Goldfish,La pêche aux poissons rouges,"Documentary,Short"
tt0000029,short,Baby's Meal,Repas de bébé,"Documentary,Short"
tt0000030,short,Rough Sea at Dover,Rough Sea at Dover,"Documentary,Short"
tt0000031,short,Jumping the Blanket,Le saut à la couverture,"Documentary,Short"
tt0000032,short,Die Serpentintänzerin,Die Serpentintänzerin,Short
tt0000033,short,Horse Trick Riders,La voltige,"Comedy,Documentary,Short"
tt0000034,short,Arrivée d'un train gare de Vincennes,Arrivée d'un train gare de Vincennes,"Documentary,Short"
tt0000035,short,Watering the Flowers,L'arroseur,"Comedy,Short"
tt0000036,short,Awakening of Rip,Awakening of Rip,"Drama,Short"
tt0000037,short,Sea Bathing,Baignade en mer,Short
tt0000038,short,The Ball Game,The Ball Game,"Documentary,Short,Sport"
tt0000039,short,Barnet Horse Fair,Barnet Horse Fair,Short
tt0000040,short,Barque sortant du port de Trouville,Barque sortant du port de Trouville,"Documentary,Short"
tt0000041,short,Bataille de neige,Bataille de neige,"Comedy,Documentary,Short"
tt0000042,short,Bateau-mouche sur la Seine,Bateau-mouche sur la Seine,"Documentary,Short"
tt0000043,short,Batteuse à vapeur,Batteuse à vapeur,"Documentary,Short"
tt0000044,short,Le bivouac,Le bivouac,Short
tt0000045,short,Les blanchisseuses,Les blanchisseuses,Short
tt0000046,short,Bois de Boulogne,Bois de Boulogne,"Documentary,Short"
tt0000047,short,Boulevard des Italiens,Boulevard des Italiens,"Documentary,Short"
tt0000048,short,The Boxing Kangaroo,The Boxing Kangaroo,Short
tt0000049,short,"Boxing Match; or, Glove Contest","Boxing Match; or, Glove Contest","Short,Sport"
tt0000050,short,Bébé et fillettes,Bébé et fillettes,"Documentary,Short"
tt0000051,short,The Bohemian Encampment,Campement de bohémiens,"Documentary,Short"
tt0000052,short,Ruraux au galop,Ruraux au galop,"Documentary,Short"
tt0000053,short,A Chegada do Comboio Inaugural à Estação Central do Porto,A Chegada do Comboio Inaugural à Estação Central do Porto,"Documentary,Short"
tt0000054,short,A Merry-Go-Round,Les chevaux de bois,Short
tt0000055,short,Le chiffonnier,Le chiffonnier,Short
tt0000056,short,Uma Corrida de Touros no Campo Pequeno,Uma Corrida de Touros no Campo Pequeno,Short
tt0000057,short,Cortège de tzar allant à Versailles,Cortège de tzar allant à Versailles,"Documentary,Short"
tt0000058,short,Cortège de tzar au Bois de Boulogne,Cortège de tzar au Bois de Boulogne,"Documentary,Short"
tt0000059,short,Coronation of a Village Maiden,Couronnement de la rosière,Short
tt0000060,short,Dancing Darkies,Dancing Darkies,"Documentary,Short"
tt0000061,short,Dancing Girls,Dancing Girls,Short
tt0000062,short,Danse serpentine,Danse serpentine,Short
tt0000063,short,Dessinateur express,Dessinateur express,Short
tt0000064,short,Dessinateur: Chamberlain,Dessinateur: Chamberlain,Short
tt0000065,short,Dessinateur: Reine Victoria,Dessinateur: Reine Victoria,Short
tt0000066,short,Dessinateur: Von Bismark,Dessinateur: Von Bismark,Short
tt0000067,short,Conjurer Making Ten Hats in Sixty Seconds,Dix chapeaux en 60 secondes,"Fantasy,Short"
tt0000068,short,Unloading the Boat,Déchargement de bateaux,"Documentary,Short"
tt0000069,short,Post No Bills,Défense d'afficher,"Comedy,Short"
tt0000070,short,Demolition of a Wall,Démolition d'un mur,"Documentary,Short"
tt0000071,short,Automobiles Starting a Race,Départ des automobiles,"Short,Sport"
tt0000072,short,Officers of French Army Leaving Service,Départ des officiers,Short
tt0000073,short,Effets de mer sur les rochers,Effets de mer sur les rochers,"Documentary,Short"
tt0000074,short,Enfants jouant sur la plage,Enfants jouant sur la plage,"Documentary,Short"
tt0000075,short,The Conjuring of a Woman at the House of Robert Houdin,Escamotage d'une dame au théâtre Robert Houdin,"Horror,Short"
tt0000076,short,Exit of Rip and the Dwarf,Exit of Rip and the Dwarf,"Drama,Short"
tt0000077,short,"Le fakir, mystère indien","Le fakir, mystère indien",Short
tt0000078,short,Feira de Gado na Corujeira,Feira de Gado na Corujeira,"Documentary,Short"
tt0000079,short,La gare Saint-Lazare,La gare Saint-Lazare,"Documentary,Short"
tt0000080,short,Grandes manoeuvres,Grandes manoeuvres,"Documentary,Short"
tt0000081,short,Towing a Boat on the River,Les haleurs de bateaux,"Documentary,Short"
tt0000082,short,A Hard Wash,A Hard Wash,"Comedy,Short"
tt0000083,short,Les indiscrets,Les indiscrets,Short
tt0000084,short,Les ivrognes,Les ivrognes,Short
tt0000085,short,Gardener Burning Weeds,Jardinier brûlant des herbes,Short
tt0000086,short,"Beach and Pier at Trouville, 1st part",Jetée et plage de Trouville (1er partie),"Documentary,Short"
tt0000087,short,"Beach and Pier at Trouville, 2nd part",Jetée et plage de Trouville (2e partie),"Documentary,Short"
tt0000088,short,Market Day,Jour de marché à Trouville,"Documentary,Short"
tt0000089,short,Leaving Jerusalem by Railway,Départ de Jérusalem en chemin de fer,"Documentary,Short"
tt0000090,short,Libération des territoriaux,Libération des territoriaux,"Documentary,Short"
tt0000091,short,The House of the Devil,Le manoir du diable,"Horror,Short"
tt0000092,short,Marée montante sur Brise-Larmes,Marée montante sur Brise-Larmes,"Documentary,Short"
tt0000093,short,Melbourne,Melbourne,"Documentary,Short"
tt0000094,short,Miss de Vere,Miss de Vere,Short
tt0000095,short,The Mysterious Paper,Le papier protée,Short
tt0000096,short,Place Saint-Augustin,Place Saint-Augustin,"Documentary,Short"
tt0000097,short,"Place de l'Opéra, First View","Place de l'Opéra, 1er aspect","Documentary,Short"
tt0000098,short,"Place de l'Opéra, Second View","Place de l'Opéra, 2e aspect","Documentary,Short"
tt0000099,short,Place de la Bastille,Place de la Bastille,"Documentary,Short"
tt0000100,short,Place de la Concorde,Place de la Concorde,"Documentary,Short"
tt0000101,short,Place du théâtre français,Place du théâtre français,"Documentary,Short"
tt0000102,short,The Beach at Villiers in a Gale,Plage de Villiers par gros temps,Short
tt0000103,short,Smarter than the Teacher,Plus fort que le maître,Short
tt0000104,short,Pompiers à Lyon,Pompiers à Lyon,"Documentary,Short"
tt0000105,short,The Docks at Marseilles,Les quais à Marseille,"Documentary,Short"
tt0000106,short,Retour au cantonnement,Retour au cantonnement,Short
tt0000107,short,Naval Review at Cherburg,Revue navale à Cherbourg,"Documentary,Short"
tt0000108,short,Rip Leaving Sleepy Hollow,Rip Leaving Sleepy Hollow,"Drama,Short"
tt0000109,short,Rip Meeting the Dwarf,Rip Meeting the Dwarf,"Fantasy,Short"
tt0000110,short,Rip Passing Over the Mountain,Rip Passing Over the Mountain,"Fantasy,Short"
tt0000111,short,Rip's Toast,Rip's Toast,"Drama,Short"
tt0000112,short,Rip's Toast to Hudson,Rip's Toast to Hudson,"Fantasy,Short"
tt0000113,short,Rip's Twenty Years' Sleep,Rip's Twenty Years' Sleep,"Drama,Short"
tt0000114,short,French Regiment Going to the Parade,Le régiment,"Documentary,Short"
tt0000115,short,Réunion d'officiers,Réunion d'officiers,"Documentary,Short"
tt0000116,short,Sac au dos,Sac au dos,Short
tt0000117,short,Saída do Pessoal Operário da Fábrica Confiança,Saída do Pessoal Operário da Fábrica Confiança,"Documentary,Short"
tt0000118,short,Salut malencontreux d'un déserteur,Salut malencontreux d'un déserteur,Short
tt0000119,short,"Rescue on the River, Pt. 2","Sauvetage en rivière, 1er","Documentary,Short"
tt0000120,short,"Rescue on the River, Pt. 1","Sauvetage en rivière, 2e","Documentary,Short"
tt0000121,short,The Soldier's Courtship,The Soldier's Courtship,"Comedy,Short"
tt0000122,short,Closing Hours at Vibert's Perfume Factory,Sortie des ateliers Vibert,"Documentary,Short"
tt0000123,short,Conjuring,Séance de prestidigitation,Short
tt0000124,short,Tempête sur la jetée du treport,Tempête sur la jetée du treport,"Documentary,Short"
tt0000125,short,The Terrible Railway Accident,The Terrible Railway Accident,Short
tt0000126,short,Tom Old Boot,Tom Old Boot,Short
tt0000127,short,Les tribulations d'un concierge,Les tribulations d'un concierge,"Comedy,Short"
tt0000128,short,Academy for Young Ladies,Un lycée de jeunes filles,Short
tt0000129,short,Un petit diable,Un petit diable,Short
tt0000130,short,Une altercation au café,Une altercation au café,Short
tt0000131,short,A Terrible Night,Une nuit terrible,"Comedy,Horror,Short"
tt0000132,short,Card Party,Une partie de cartes,"Biography,Short"
tt0000133,short,La voiture du potier,La voiture du potier,Short
tt0000134,short,The Wandering Negro Minstrels,The Wandering Negro Minstrels,"Music,Short"
tt0000135,short,A Watermelon Feast,A Watermelon Feast,"Documentary,Short"
tt0000137,short,Au réfectoire,Au réfectoire,"Comedy,Short"
tt0000138,short,The Bewitched Inn,L'Auberge ensorcelée,"Comedy,Horror,Short"
tt0000139,short,L'aveugle,L'aveugle,"Drama,Short"
tt0000140,short,Baignade dans le torrent,Baignade dans le torrent,"Documentary,Short"
tt0000141,short,Ballet libella,Ballet libella,"Documentary,Short"
tt0000142,short,Buffalo Bill and Escort,Buffalo Bill and Escort,"News,Short"
tt0000143,short,Les cambrioleurs,Les cambrioleurs,"Comedy,Short"
tt0000144,short,Chez le magnétiseur,Chez le magnétiseur,"Comedy,Short"
tt0000145,short,En classe,En classe,"Comedy,Short"
tt0000146,short,Le cocher de fiacre endormi,Le cocher de fiacre endormi,"Comedy,Short"
tt0000147,movie,The Corbett-Fitzsimmons Fight,The Corbett-Fitzsimmons Fight,"Documentary,News,Sport"
tt0000148,short,Le Coucher d'Yvette,Le Coucher d'Yvette,Short
tt0000149,short,Behind the Scenes,Dans les coulisses,"Comedy,Short"
tt0000150,short,Danse fleur de lotus,Danse fleur de lotus,"Documentary,Short"
tt0000151,short,Faust et Marguerite,Faust et Marguerite,Short
tt0000152,short,The Hallucinated Alchemist,L'hallucination de l'alchimiste,"Fantasy,Horror,Short"
tt0000153,short,The Haunted Castle,The Haunted Castle,"Horror,Short"
tt0000154,short,Henley Regatta,Henley Regatta,"News,Short,Sport"
tt0000155,short,The Hypnotist at Work,Le magnétiseur,Short
tt0000156,short,A Badly Managed Hotel,L'hôtel empoisonné,"Comedy,Short"
tt0000157,short,Idylle,Idylle,Short
tt0000158,short,Idylle interrompue,Idylle interrompue,"Comedy,Short"
tt0000159,short,The Devil's Laboratory,Le cabinet de Méphistophélès,"Horror,Short"
tt0000160,short,The Last Days of Pompeii,The Last Days of Pompeii,"Drama,Short"
tt0000161,short,Leçon de danse,Leçon de danse,"Comedy,Short"
tt0000162,short,Niagara Falls,Les chutes,"Documentary,Short"
tt0000163,short,Le planton du colonel,Le planton du colonel,"Comedy,Short"
tt0000164,short,Le pêcheur dans le torrent,Le pêcheur dans le torrent,"Comedy,Short"
tt0000165,short,Riña en un café,Riña en un café,Short
tt0000166,short,Salida de los trabajadores de la fábrica España Industrial,Salida de los trabajadores de la fábrica España Industrial,"Documentary,Short"
tt0000167,short,Salida de misa de doce del Pilar de Zaragoza,Salida de misa de doce del Pilar de Zaragoza,"Documentary,Short"
tt0000168,short,Salida del público de la iglesia parroquial de Santa María de Sans,Salida del público de la iglesia parroquial de Santa María de Sans,"Documentary,Short"
tt0000169,short,Slagsmål i gamla Stockholm,Slagsmål i gamla Stockholm,Short
tt0000170,short,The Twins' Tea Party,The Twins' Tea Party,"Comedy,Short"
tt0000171,short,Une nuit agitée,Une nuit agitée,"Comedy,Short"
tt0000172,short,The X-Ray Fiend,The X-Ray Fiend,"Comedy,Horror,Short"
tt0000173,short,Battle of Santiago Bay,Battle of Santiago Bay,"Short,War"
tt0000174,short,Výstavní párkar a lepic plakátù,Výstavní párkar a lepic plakátù,"Comedy,Short"
tt0000175,short,A Sea Cave Near Lisbon,A Sea Cave Near Lisbon,"Documentary,Short"
tt0000176,short,Brittania,Brittania,Short
tt0000177,short,The Burglar on the Roof,The Burglar on the Roof,"Crime,Short"
tt0000178,short,The Cavalier's Dream,The Cavalier's Dream,"Horror,Short"
tt0000179,short,The Cave of the Demons,The Cave of the Demons,"Horror,Short"
tt0000180,short,Le chemin de croix,Le chemin de croix,Short
tt0000181,short,Cinderella,Cinderella,"Fantasy,Short"
tt0000182,short,"Come Along, Do!","Come Along, Do!","Comedy,Short"
tt0000183,short,The Corsican Brothers,The Corsican Brothers,"Drama,Short"
tt0000184,short,Cripple Creek Bar-Room Scene,Cripple Creek Bar-Room Scene,"Short,Western"
tt0000185,short,La crèche à Bethléem,La crèche à Bethléem,Short
tt0000186,short,Le cuirassé Maine,Le cuirassé Maine,"Short,War"
tt0000187,short,La cène,La cène,Short
tt0000188,short,The Deserter,The Deserter,"Drama,Short"
tt0000189,short,Dorotea,Dorotea,Short
tt0000190,short,Dostavenícko ve mlýnici,Dostavenícko ve mlýnici,"Comedy,Short"
tt0000191,short,Déménagement à la cloche de bois,Déménagement à la cloche de bois,Short
tt0000192,short,"Ella Lola, a la Trilby","Ella Lola, a la Trilby",Short
tt0000193,short,L'entrée à Jérusalem,L'entrée à Jérusalem,Short
tt0000194,short,Express Train on a Railway Cutting,Express Train on a Railway Cutting,"Documentary,Short"
tt0000195,short,Les farces de Jocko,Les farces de Jocko,"Comedy,Short"
tt0000196,short,Faust and Mephistopheles,Faust and Mephistopheles,"Fantasy,Short"
tt0000197,short,La flagellation,La flagellation,Short
tt0000198,short,La fuite en Égypte,La fuite en Égypte,Short
tt0000199,short,Glasgow Fire Engine,Glasgow Fire Engine,Short
tt0000200,short,Gran corrida de toros,Gran corrida de toros,"Documentary,Short,Sport"
tt0000201,short,Indian War Council,Indian War Council,"News,Short"
tt0000202,short,Le jardin des oliviers,Le jardin des oliviers,Short
tt0000203,short,Je vous y prrrrends!,Je vous y prrrrends!,Short
tt0000204,short,Jésus devant Pilate,Jésus devant Pilate,Short
tt0000205,short,Leçons de boxe,Leçons de boxe,"Comedy,Short,Sport"
tt0000206,short,"Llegada de un tren a la estación de ferrocarril del Norte, de Barcelona","Llegada de un tren a la estación de ferrocarril del Norte, de Barcelona","Documentary,Short"
tt0000207,short,London Express,London Express,"Documentary,Short"
tt0000208,short,The Miller and Chimney Sweep,The Miller and the Sweep,"Comedy,Short"
tt0000209,short,Photographing a Ghost,Photographing a Ghost,"Horror,Short"
tt0000210,short,A Novice at X-rays,Les rayons Röntgen,Short
tt0000211,short,"The Astronomer's Dream; or, The Man in the Moon",La lune à un mètre,"Comedy,Fantasy,Horror"
tt0000212,short,Saida do Paquete Duque de Braganca,Saida do Paquete Duque de Braganca,Short
tt0000213,short,Scène d'escamotage,Scène d'escamotage,Short
tt0000214,short,Tearing Down the Spanish Flag,Tearing Down the Spanish Flag,"Short,War"
tt0000215,short,Smích a plác,Smích a plác,"Documentary,Short"
tt0000216,short,Visita de Doña María Cristina y Alfonso XIII a Barcelona,Visita de Doña María Cristina y Alfonso XIII a Barcelona,"News,Short"
tt0000217,short,Waves and Spray,Waves and Spray,Short
tt0000218,short,L'affaire Dreyfus,L'affaire Dreyfus,"Biography,Drama,Short"
tt0000219,short,Aladdin and the Wonderful Lamp,Aladdin and the Wonderful Lamp,"Fantasy,Short"
tt0000220,short,The Artist and the Flower Girl,The Artist and the Flower Girl,"Romance,Short"
tt0000221,short,Aspectos da Praia de Cascais,Aspectos da Praia de Cascais,"Documentary,Short"
tt0000222,short,Au cabaret,Au cabaret,"Comedy,Short"
tt0000223,short,L'aveugle,L'aveugle,Short
tt0000224,short,Battlefield,Battlefield,Short
tt0000225,short,Beauty and the Beast,La belle et la bête,"Family,Fantasy,Romance"
tt0000226,short,Boat Race,Boat Race,Short
tt0000227,short,Bombardment of Mafeking,Bombardment of Mafeking,"Drama,Short,War"
tt0000228,short,La bonne absinthe,La bonne absinthe,Short
tt0000229,short,Casey at the Bat,Casey at the Bat,"Short,Sport"
tt0000230,short,Cinderella,Cendrillon,"Drama,Family,Fantasy"
tt0000231,short,Portuguese Railway Train,Portuguese Railway Train,"Documentary,Short"
tt0000232,short,Le chiffonnier,Le chiffonnier,"Comedy,Short"
tt0000233,short,Choque de dos transatlánticos,Choque de dos transatlánticos,"Animation,Short"
tt0000234,short,Cleopatra's Tomb,Cléopâtre,"Horror,Short"
tt0000235,short,Haggard's She: The Pillar of Fire,La Danse du feu,"Adventure,Fantasy,Horror"
tt0000236,short,Courte échelle,Courte échelle,Short
tt0000237,short,Le crucifiement,Le crucifiement,Short
tt0000238,short,Les dangers de l'alcoolisme,Les dangers de l'alcoolisme,"Drama,Short"
tt0000239,short,Danse serpentine par Mme. Bob Walter,Danse serpentine par Mme. Bob Walter,"Music,Short"
tt0000240,short,Distributing a War Extra,Distributing a War Extra,"Documentary,Short"
tt0000241,short,La descente de croix,La descente de croix,Short
tt0000242,short,The Sign of the Cross,Le Diable au couvent,"Fantasy,Horror,Short"
tt0000243,short,Le déjeuner des enfants,Le déjeuner des enfants,"Comedy,Short"
tt0000244,short,Erreur judiciaire,Erreur judiciaire,Short
tt0000245,short,The Haunted House,The Haunted House,"Comedy,Fantasy,Horror"
tt0000246,short,A Turn of the Century Illusionist,L'Impressionniste fin de siècle,"Fantasy,Short"
tt0000247,short,King John,King John,"Drama,Short"
tt0000248,short,A Kiss in the Tunnel,The Kiss in the Tunnel,"Comedy,Romance,Short"
tt0000249,short,The Legacy,The Legacy,Short
tt0000250,short,Llegada del vapor Bellver a Mallorca,Llegada del vapor Bellver a Mallorca,"Documentary,Short"
tt0000251,short,Matches: An Appeal,Matches: An Appeal,"Animation,Short"
tt0000252,short,La mauvaise soupe,La mauvaise soupe,"Comedy,Short"
tt0000253,short,The Miser's Doom,The Miser's Doom,"Horror,Short"
tt0000254,short,Monnaie de lapin,Monnaie de lapin,"Comedy,Short"
tt0000255,short,Mésaventure d'un charbonnier,Mésaventure d'un charbonnier,"Comedy,Short"
tt0000256,short,Panorama from the Tower of the Brooklyn Bridge,Panorama from the Tower of the Brooklyn Bridge,"Documentary,Short"
tt0000257,short,La résurrection,La résurrection,Short
tt0000258,short,Le tondeur de chiens,Le tondeur de chiens,"Comedy,Short"
tt0000259,short,Le tonnelier,Le tonnelier,"Comedy,Short"
tt0000260,short,Transformations,Transformations,"Comedy,Short"
tt0000261,short,A Midnight Episode,Un bon lit,"Comedy,Horror,Short"
tt0000262,short,Un lunch,Un lunch,"Comedy,Short"
tt0000263,short,"Vista de la entrada principal de la plaza de toros de Jerez, el segundo día de feria","Vista de la entrada principal de la plaza de toros de Jerez, el segundo día de feria","Documentary,Short"
tt0000264,short,Summoning the Spirits,Évocation spirite,"Fantasy,Horror,Short"
tt0000265,short,Above the Limit,Above the Limit,"Comedy,Short"
tt0000266,short,Above the Speedway,Above the Speedway,"Documentary,Short"
tt0000267,short,L'angélus,L'angélus,Short
tt0000268,short,L'arléquine,L'arléquine,Short
tt0000269,short,"Army Life; or, How Soldiers Are Made: Mounted Infantry",Army Life,"Documentary,Short"
tt0000270,short,Arrivée d'Arléquin,Arrivée d'Arléquin,Short
tt0000271,short,Arrivée de Pierette et Pierrot,Arrivée de Pierette et Pierrot,Short
tt0000272,short,As Seen Through a Telescope,As Seen Through a Telescope,"Comedy,Short"
tt0000273,short,Attack on a China Mission,Attack on a China Mission,"Action,Crime,Drama"
tt0000274,short,Avenue de l'opéra,Avenue de l'opéra,"Comedy,Short"
tt0000275,short,Badinage,Badinage,Short
tt0000276,short,Bataille d'oreillers,Bataille d'oreillers,Short
tt0000277,short,Bataille de boules de neige,Bataille de boules de neige,Short
tt0000278,short,Buffalo Bill's Show Parade,Buffalo Bill's Show Parade,Short
tt0000279,short,Buffalo Bill's Wild West Parade,Buffalo Bill's Wild West Parade,"News,Short"
tt0000280,short,Buffalo Bill's Wild West Parade,Buffalo Bill's Wild West Parade,"News,Short"
tt0000281,short,Buffalo Bill's Wild West Show,Buffalo Bill's Wild West Show,"News,Short"
tt0000282,short,Le bébé,Le bébé,Short
tt0000283,short,Chez le Maréchal-Ferrant,Chez le Maréchal-Ferrant,Short
tt0000284,short,Chez le photographe,Chez le photographe,Short
tt0000285,short,Chinese Magic,Chinese Magic,"Horror,Short"
tt0000286,short,Chirurgie fin de siècle,Chirurgie fin de siècle,"Comedy,Short"
tt0000287,short,The Clown and the Alchemist,The Clown and the Alchemist,"Comedy,Fantasy,Short"
tt0000288,short,La concierge,La concierge,"Comedy,Short"
tt0000289,short,Coucher d'une Parisienne,Coucher d'une Parisienne,Short
tt0000290,short,Dance de l'ivresse,Dance de l'ivresse,Short
tt0000291,short,Dans les coulisses,Dans les coulisses,Short
tt0000292,short,Danse du papillon,Danse du papillon,"Documentary,Short"
tt0000293,short,Danse du pas des foulards par des almées,Danse du pas des foulards par des almées,Short
tt0000294,short,La danse du ventre,La danse du ventre,Short
tt0000295,short,Danse du voile,Danse du voile,Short
tt0000296,short,Danse serpentine,Danse serpentine,"Documentary,Short"
tt0000297,short,Danses,Danses,Short
tt0000298,short,Déclaration d'amour,Déclaration d'amour,Short
tt0000299,short,Le départ d'Arlequin et de Pierrette,Le départ d'Arlequin et de Pierrette,Short
tt0000300,short,The Enchanted Drawing,The Enchanted Drawing,"Animation,Comedy,Fantasy"
tt0000301,short,Faust and Marguerite,Faust and Marguerite,"Fantasy,Horror,Short"
tt0000302,short,"La fée aux choux, ou la naissance des enfants","La fée aux choux, ou la naissance des enfants",Short
tt0000303,short,Gavotte directoire,Gavotte directoire,Short
tt0000304,short,Grandma's Reading Glass,Grandma's Reading Glass,"Family,Short"
tt0000305,short,L'Habanera,L'Habanera,Short
tt0000306,short,"Hamlet, Duel Scene with Laertes",Le duel d'Hamlet,"Drama,Short"
tt0000307,short,Happy Hooligan,Happy Hooligan,"Comedy,Short"
tt0000308,short,The House That Jack Built,The House That Jack Built,Short
tt0000309,short,How It Feels to Be Run Over,How It Feels to Be Run Over,"Comedy,Short"
tt0000310,short,Chimmie Hicks and the Rum Omelet,Chimmie Hicks and the Rum Omelet,"Comedy,Short"
tt0000312,short,Le lapin,Le lapin,Short
tt0000313,short,Let Me Dream Again,Let Me Dream Again,"Comedy,Short"
tt0000314,short,Leçon de danse,Leçon de danse,Short
tt0000315,short,Le marchand de coco,Le marchand de coco,Short
tt0000316,short,Marché à la volaille,Marché à la volaille,Short
tt0000317,short,Le matelot,Le matelot,Short
tt0000318,short,Eine moderne Jungfrau von Orleans,Eine moderne Jungfrau von Orleans,Short
tt0000319,short,Maple Leaf Viewing,Momijigari,"Horror,Short"
tt0000320,short,Mort d'Adonis,Mort d'Adonis,Short
tt0000321,short,The Mystic Swing,The Mystic Swing,"Fantasy,Short"
tt0000322,short,Panorama de Barcelona: monumentos y fiestas,Panorama de Barcelona: monumentos y fiestas,"Documentary,Short"
tt0000323,short,Pas Japonais,Pas Japonais,Short
tt0000324,short,Pas de grâce,Pas de grâce,Short
tt0000325,short,Pas des éventails,Pas des éventails,Short
tt0000326,short,Pas du poignard,Pas du poignard,Short
tt0000327,short,La paysanne,La paysanne,Short
tt0000328,short,La petite magicienne,La petite magicienne,Short
tt0000329,short,Le Polichinelle,Le Polichinelle,Short
tt0000330,short,La poupée noire,La poupée noire,Short
tt0000331,short,La reine des jouets,La reine des jouets,Short
tt0000332,short,Retour des champs,Retour des champs,"Documentary,Short"
tt0000333,short,Le sang d'Adonis donnant naissance à la rose rouge,Le sang d'Adonis donnant naissance à la rose rouge,Short
tt0000334,short,Saut humidifié de M. Plick,Saut humidifié de M. Plick,"Comedy,Short"
tt0000335,short,Soldiers of the Cross,Soldiers of the Cross,"Biography,Drama,Short"
tt0000336,short,La source,La source,Short
tt0000337,short,Spanish Bullfight,Spanish Bullfight,"Short,Sport"
tt0000338,short,Suite de la danse,Suite de la danse,Short
tt0000339,short,La tarentelle,La tarentelle,Short
tt0000340,short,Uncle Josh in a Spooky Hotel,Uncle Josh in a Spooky Hotel,"Comedy,Fantasy,Short"
tt0000341,short,Uncle Josh's Nightmare,Uncle Josh's Nightmare,"Comedy,Fantasy,Short"
tt0000342,short,Une rage de dents,Une rage de dents,"Comedy,Short"
tt0000343,short,Valse directoire,Valse directoire,Short
tt0000344,short,Valse lente,Valse lente,Short
tt0000345,short,L'écossaise,L'écossaise,Short
tt0000346,short,Another Job for the Undertaker,Another Job for the Undertaker,"Comedy,Short"
tt0000347,short,Buffalo Bill's Wild West Parade,Buffalo Bill's Wild West Parade,"Documentary,News,Short"
tt0000348,short,Charmant froufrou,Charmant froufrou,Short
tt0000349,short,"What Came Out of the Cheese; or, The Lilliputians in a New York Restaurant","The Cheese Mites, or Lilliputians in a London Restaurant","Comedy,Short"
tt0000350,short,The Countryman's First Sight of the Animated Pictures,The Countryman and the Cinematograph,"Comedy,Short"
tt0000351,short,Danses basques,Danses basques,Short
tt0000352,short,Day at the Circus,Day at the Circus,"Documentary,Short"
tt0000353,short,Execution of Czolgosz with Panorama of Auburn Prison,Execution of Czolgosz with Panorama of Auburn Prison,"Drama,History,Short"
tt0000354,short,Exercício de Artilharia no Hipódromo de Belém,Exercício de Artilharia no Hipódromo de Belém,"Documentary,Short"
tt0000355,short,Fire!,Fire!,"Action,Drama,Short"
tt0000356,short,Frivolité,Frivolité,Short
tt0000357,short,The Haunted Curiosity Shop,The Haunted Curiosity Shop,"Comedy,Fantasy,Horror"
tt0000358,short,History of a Crime,Histoire d'un crime,"Crime,Drama,Short"
tt0000359,short,The India Rubber Head,L'homme à la tête en caoutchouc,"Comedy,Fantasy,Short"
tt0000360,short,Hussards et grisettes,Hussards et grisettes,Short
tt0000361,short,Lavatory moderne,Lavatory moderne,Short
tt0000362,short,Lecture quotidienne,Lecture quotidienne,Short
tt0000363,short,Magical Sword,The Magic Sword,"Fantasy,Romance,Short"
tt0000364,short,Panorama of Esplanade by Night,Panorama of Esplanade by Night,"Documentary,Short"
